index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.faz.net/aktuell/gesellschaft/schweiz-gletscher-in-den-alpen-schrumpfen-2025-weiter-accg-110712116.html,https://www.faz.net/aktuell/gesellschaft/schweiz-gletscher-in-den-alpen-schrumpfen-2025-weiter-accg-110712116.html,0,www.faz.net,"Wenig Schnee, viel Hitze: Gletscher in der Schweiz sind in diesem Jahr deutlich geschrumpft",Auf einen schneearmen Winter folgten mehrere Hitzewellen: In diesem Jahr ging das Volumen der Schweizer Gletscher um drei Prozent zurück. Das hat Folgen für das Gestein und die umliegenden Orte.,https://media1.faz.net/ppmedia/w1200/aktuell/gesellschaft/1814428222/1.10712121/facebook_teaser/der-muttgletscher-in-den.jpg.webp,2025-10-01T09:28:36Z,,"Es gibt keine Verschnaufpause für die Schweizer Gletscher: in diesem Jahr wurde bei ihnen der viertgrößte Schwund seit Messbeginn 1950 erfasst. Ihr Volumen ging um drei Prozent zurück, wie das Gletsc… [+2168 chars]",,de,'Schnee'
https://sport.orf.at/stories/3146160/,https://sport.orf.at/stories/3146160/,0,sport.orf.at,Steilhang in Sölden wird steiler und steiler,Knapp vier Wochen vor dem alpinen Weltcup-Opening in Sölden präsentiert sich der Rettenbachferner von seiner besten Seite. An Schnee wird es am 25. (Damen) bzw. 26. Oktober (Herren) zur Freude der Veranstalter in den Riesentorläufen nicht mangeln. Interessant…,https://ibs.orf.at/sport?image=https%3A%2F%2Fassets.orf.at%2Fmims%2F2025%2F40%2F57%2Fcrops%2Fw%3D1200%2Ch%3D630%2Cq%3D75%2F2785246_master_1074257_ski_alpin_soelden_steilhang_schnee_g.jpg%3Fs%3Dc4c71dc03f95276fbbe1ca21a6458edff04d1f61,2025-10-01T14:45:40Z,,Bei einem Lokalaugenschein von ORF-Regisseur Michael Kögler zeigte sich der Gletscher hoch über Sölden tief winterlich. Es kribbelt schon nach der langen Pause bei Fahrern und Verantwortlichen. Sölde… [+1727 chars],,de,'Schnee'
https://www.diepresse.com/20153261/ultimatum-omv-droht-bohrlizenzen-im-schwarzen-meer-zu-verlieren,https://www.diepresse.com/20153261/ultimatum-omv-droht-bohrlizenzen-im-schwarzen-meer-zu-verlieren,0,www.diepresse.com,Ultimatum: OMV droht Bohrlizenzen im Schwarzen Meer zu verlieren [premium],Ab 2027 soll das rumänische OMV-Projekt „Neptun Deep“ große Mengen an Gas für Europa liefern. Doch Rumänien geht es nicht schnell genug. Im Raum stehen Millionenstrafen und im Extremfall sogar der Verlust der Lizenz.,https://img.diepresse.com/public/incoming/2awdq2-ROMANIA-ENERGYOFFSHORE/alternates/DPR_SOCIAL_NACHRICHTEN/ROMANIA-ENERGYOFFSHORE,2025-10-02T03:55:28Z,,"Zukunftsprojekte, wohin das Auge reicht: Während die teilstaatliche OMV im heimischen Bruck an der Leitha den Grundstein für das größte grüne Wasserstoff-Werk des Landes legt, arbeitet der Konzern im… [+5400 chars]",,de,'Gas'
https://www.sueddeutsche.de/gesundheit/flugreisen-notfaelle-medizin-li.3319036,https://www.sueddeutsche.de/gesundheit/flugreisen-notfaelle-medizin-li.3319036,0,www.sueddeutsche.de,Flugmedizin: Not über den Wolken,"Übelkeit, Blasensprung, Schlaganfall: Eine große Studie hat untersucht, zu welchen medizinischen Zwischenfällen es in Flugzeugen kommt. Die gute Nachricht: Ziemlich wahrscheinlich ist ein Arzt an Bord.",https://www.sueddeutsche.de/2025/10/01/6525c96f-48d7-48e0-ac22-4072b67e80a7.jpg?q=60&fm=webp&width=1200&rect=0%2C209%2C4000%2C2250,2025-10-02T05:00:00Z,,"Zählt man all die Passagiere der heutzutage umherfliegenden Maschinen zusammen, dann befinden sich zu jedem Zeitpunkt etwa 1,5 Millionen Menschen in der Luft. Das ist, als würden sich alle Einwohner … [+249 chars]",,de,'Not'
https://www.faz.net/aktuell/rhein-main/frankfurt/hessen-muss-bei-den-kommunalfinanzen-handeln-110712847.html,https://www.faz.net/aktuell/rhein-main/frankfurt/hessen-muss-bei-den-kommunalfinanzen-handeln-110712847.html,0,www.faz.net,Städte in Not: Das Land Hessen muss bei den Kommunalfinanzen handeln,Das Beispiel Taunusstein zeigt die dramatische Lage der Kommunalfinanzen in Hessen. Ohne baldige Reform drohen Städten und Gemeinden massive Einschnitte.,https://media0.faz.net/ppmedia/w1200/aktuell/2761870151/1.7268740/facebook_teaser/die-finanzlage-vieler-kommunen.jpg.webp,2025-10-02T06:38:51Z,,"Taunusstein ist mit mehr als 30.000 Einwohnern nicht nur die größte Stadt im Rheingau-Taunus-Kreis. Sie gilt auch als wirtschaftlich potent, beheimatet viele interessante Unternehmen und gilt zu Rech… [+2077 chars]",,de,'Not'
https://www.globenewswire.com/news-release/2025/10/02/3160106/0/en/HSBC-Continental-Europe-Post-Stabilisation-Notice.html,https://www.globenewswire.com/news-release/2025/10/02/3160106/0/en/HSBC-Continental-Europe-Post-Stabilisation-Notice.html,0,www.globenewswire.com,HSBC Continental Europe: Post Stabilisation Notice,"PARIS, Oct.  02, 2025  (GLOBE NEWSWIRE) --   Münchener Rückversicherungs-GesellschaftAktiengesellschaft in München  HSBC (contact:......",,2025-10-02T07:00:00Z,,"PARIS, Oct. 02, 2025 (GLOBE NEWSWIRE) -- 
Münchener Rückversicherungs-GesellschaftAktiengesellschaft in München
HSBC (contact: syndexecution@noexternalmail.hsbc.com) hereby gives notice that no sta… [+1120 chars]",,de,'Not'
https://taz.de/Wegen-Gas-Import/!6117414/,https://taz.de/Wegen-Gas-Import/!6117414/,0,taz.de,Wegen Gas-Import: Greenpeace blockiert Hafen in Belgien,"Um ihren Energiebedarf zu decken, importiert die EU Flüssigerdgas – auch aus Moskau. Nun blockieren Greenpeace-Aktivisten einen Hafen.",https://taz.de/picture/7963930/1200/550368017.jpeg,2025-10-02T08:23:00Z,,"Um ihren Energiebedarf zu decken, importiert die EU Flüssigerdgas – auch aus Moskau. Nun blockieren Greenpeace-Aktivisten einen Hafen. mehr...",,de,'Gas'
https://www.zeit.de/news/2025-10/02/giftiges-gas-tritt-in-magdeburg-aus,https://www.zeit.de/news/2025-10/02/giftiges-gas-tritt-in-magdeburg-aus,0,www.zeit.de,Notfälle: Giftiges Gas tritt in Magdeburg aus,Hier finden Sie Informationen zu dem Thema „Notfälle“. Lesen Sie jetzt „Giftiges Gas tritt in Magdeburg aus“.,https://img.zeit.de/news/2025-10/02/giftiges-gas-tritt-in-magdeburg-aus-image-group/wide__1300x731,2025-10-02T09:55:40Z,,"Giftiges Gas tritt in Magdeburg aus dem Keller eines Wohnhauses aus. Der Verdacht bestehe, dass es sich dabei um Monophosphan handele, sagte eine Sprecherin der Polizei Magdeburg. Fünf Menschen werde… [+364 chars]",,de,'Gas'
https://www.zeit.de/news/2025-10/02/planet-verschlingt-gas-in-rekordtempo,https://www.zeit.de/news/2025-10/02/planet-verschlingt-gas-in-rekordtempo,0,www.zeit.de,Tonnenweise Appetithäppchen: Planet verschlingt Gas in Rekordtempo,Hier finden Sie Informationen zu dem Thema „Tonnenweise Appetithäppchen“. Lesen Sie jetzt „Planet verschlingt Gas in Rekordtempo“.,https://img.zeit.de/news/2025-10/02/planet-verschlingt-gas-in-rekordtempo-image-group/wide__1300x731,2025-10-02T12:17:40Z,,Sechs Milliarden Tonnen pro Sekunde - mit dieser Rate hat sich der Planet «Cha 1107-7626» im August 2025 Gas und Staub aus seiner Umgebung einverleibt. Es handle sich um die größte je bei einem Plane… [+1112 chars],,de,'Gas'
https://www.zeit.de/zeit-fuer-unternehmer/2025/03/sondervermoegen-infrastruktur-baugewerbe-sanierung-buerokratie,https://www.zeit.de/zeit-fuer-unternehmer/2025/03/sondervermoegen-infrastruktur-baugewerbe-sanierung-buerokratie,0,www.zeit.de,Sondervermögen Infrastruktur: Wir nehmen die 500 Milliarden!,"Wie schnell kommt das Geld von der Regierung? Bauunternehmer sorgen sich, dass nur die Großen profitieren. In Münster zeigt einer, wie man Gas gibt.",https://img.zeit.de/zeit-fuer-unternehmer/2025/03/wir-nehmen-die-500-milliarden-bild-1/wide__1300x731,2025-10-04T15:59:34Z,,"Wenn Thomas Echterhoff zeigen will, wie man Geld schnell und zuverlässig in Zukunft verwandeln kann, dann streift sich der Unternehmer eine orangefarbene Warnweste über den Anzug. Er nimmt einen mit … [+624 chars]",,de,'Gas'
