,phrase,label,sentiment,subjectivity,language,count
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,187
…,…,MISC,2.3033333333333332,0.7933333333333333,de,181
deutschen,deutschen,MISC,,,de,121
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,74
deutsche,deutsche,MISC,,,de,57
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,54
russisches,russisches,MISC,,,de,47
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,36
russischen,russischen,MISC,,,de-DE,35
Berliner,Berliner,MISC,,,de,31
europäischen,europäischen,MISC,,,de,31
Gaskrise,Gaskrise,MISC,-4.0,1.0,de-DE,30
russischem,russischem,MISC,,,de,28
Deutschen,Deutschen,MISC,,,de,25
europäische,europäische,MISC,,,de,23
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,22
russischer,russischer,MISC,,,de,21
Gaspreisbremse,Gaspreisbremse,MISC,-0.003571428571428573,0.0,de,20
russische,russische,MISC,,,de,20
Gaspreisbremse.,Gaspreisbremse.,MISC,1.4,0.0,de,18
Deutsche,Deutsche,MISC,,,de,18
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,17
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,17
soziale,soziale,MISC,,,de,14
ukrainischen,ukrainischen,MISC,,,de,14
Nord Stream 2,Nord Stream 2,MISC,-0.7,0.0,de,13
Winter.,Winter.,MISC,2.2,0.0,,13
Berliner Senat,Berliner Senat,MISC,,,de,10
niederländisches,niederländisches,MISC,,,de,10
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,10
Zeit,Zeit,MISC,,,de,10
LNG-Terminal,LNG-Terminal,MISC,,,de,9
Hamburger,Hamburger,MISC,,,de-DE,9
\u00fcberall.,\u00fcberall.,MISC,,,de,9
n-tv,n-tv,MISC,,,de,9
österreichische,österreichische,MISC,,,de,8
Aldi,Aldi,MISC,2.8,0.0,de,8
Fußball-WM,Fußball-WM,MISC,,,de,8
Wirtschaftsministerium,Wirtschaftsministerium,MISC,,,de,7
Deutschland.,Deutschland.,MISC,0.09523809523809523,0.0,de,7
deutsch-französische,deutsch-französische,MISC,,,de,7
ePaper,ePaper,MISC,,,de,7
COP27,COP27,MISC,-2.7,0.0,de,6
Berliner Gasnetz,Berliner Gasnetz,MISC,,,de,6
Krieg,Krieg,MISC,,,de,6
LNG-Terminals,LNG-Terminals,MISC,-0.5,0.0,de,6
Kriegs,Kriegs,MISC,,,de,6
RT DE.,RT DE.,MISC,,,de,6
Krieges,Krieges,MISC,,,de,6
sächsische,sächsische,MISC,,,de,6
Kilowattstunden,Kilowattstunden,MISC,,,de,5
Ukraine-Krieg,Ukraine-Krieg,MISC,-0.15000000000000002,0.0,de,5
Tages,Tages,MISC,,,de,5
Ostseepipeline Nord Stream 1,Ostseepipeline Nord Stream 1,MISC,,,de,5
LNG-Schiffe,LNG-Schiffe,MISC,,,de,5
russischen Angriffskrieges,russischen Angriffskrieges,MISC,,,de,5
schwedischen,schwedischen,MISC,,,de,5
Alarm.,Alarm.,MISC,,,de,5
türkische,türkische,MISC,,,de,5
TTF-Kontrakt,TTF-Kontrakt,MISC,,,de,5
Bundeskabinett,Bundeskabinett,MISC,,,de,5
Gazprom-Tochter.,Gazprom-Tochter.,MISC,0.0,0.0,de,5
Gaskommission.,Gaskommission.,MISC,,,de,5
Nacht zum Sonntag,Nacht zum Sonntag,MISC,,,de,5
ÖPNV-Maskenpflicht.,ÖPNV-Maskenpflicht.,MISC,,,de,5
Ukraine-Krieg.,Ukraine-Krieg.,MISC,,,de,4
Gaskonflikt,Gaskonflikt,MISC,,,de,4
britische,britische,MISC,,,de,4
Europäischer,Europäischer,MISC,,,de,4
Strompreis,Strompreis,MISC,,,de,4
Aufruf,Aufruf,MISC,,,de,4
italienischen,italienischen,MISC,,,de,4
Informatio…,Informatio…,MISC,,,de,4
Kriegsbeginn,Kriegsbeginn,MISC,,,de,4
Nord-Stream-Gaspipelines,Nord-Stream-Gaspipelines,MISC,,,de,4
WELT.,WELT.,MISC,,,de,4
TTF,TTF,MISC,,,de,4
Liveticker: +++,Liveticker: +++,MISC,,,de,4
Skript,Skript,MISC,,,de,4
Gaspipelines,Gaspipelines,MISC,0.35,0.0,de,4
