,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.08858695652173913,0.05434782608695652,de,92
Bundestag,Bundestag,ORG,0.20833333333333323,0.06666666666666667,de,60
EU-Kommission,EU-Kommission,ORG,0.04903846153846154,0.009615384615384616,de,52
SPD,SPD,ORG,0.06730769230769229,0.038461538461538464,de,52
FOCUS,FOCUS,ORG,0.13947368421052633,0.039473684210526314,de,38
SPIEGEL,SPIEGEL,ORG,0.6999999999999996,0.0,de,28
E-Paper,E-Paper,ORG,0.6999999999999996,0.0,de,28
Uniper,Uniper,ORG,-0.07407407407407407,0.037037037037037035,de,27
Grüne,Grüne,ORG,0.008000000000000007,0.0,de,25
…,…,ORG,0.004761904761904766,0.047619047619047616,de,21
EU-Staaten,EU-Staaten,ORG,-0.011904761904761894,0.19047619047619047,de,21
Gazprom,Gazprom,ORG,-0.03750000000000001,0.0,de,20
BASF,BASF,ORG,0.1925,0.05,de,20
Bundesnetzagentur,Bundesnetzagentur,ORG,-0.13333333333333336,0.0,de,18
LNG,LNG,ORG,0.1411764705882353,0.0,de,17
CDU,CDU,ORG,-0.02941176470588234,0.023529411764705882,de,17
WELT,WELT,ORG,0.5033333333333334,0.06666666666666667,de,15
DER SPIEGEL.,DER SPIEGEL.,ORG,-0.14285714285714285,0.0,de,14
FDP,FDP,ORG,0.25357142857142856,0.0,de,14
Europäischen Union,Europäischen Union,ORG,-0.02307692307692308,0.23076923076923078,de,13
Kommission,Kommission,ORG,-0.02692307692307692,0.038461538461538464,de,13
CSU,CSU,ORG,-0.02727272727272728,0.0,de,11
RWE,RWE,ORG,0.3844444444444444,0.0,de,9
Katar,Katar,ORG,0.1222222222222222,0.0,de,9
RT DE.,RT DE.,ORG,0.07222222222222224,0.05555555555555555,de,9
Gaspreisbremse,Gaspreisbremse,ORG,0.07777777777777778,0.2222222222222222,de,9
Gazprom Germania,Gazprom Germania,ORG,0.20000000000000004,0.0,de,9
Securing Energy for Europe,Securing Energy for Europe,ORG,0.0,0.0,de,8
Europäischen Kommission,Europäischen Kommission,ORG,-0.33125,0.0,de,8
Berliner Morgenpost,Berliner Morgenpost,ORG,-0.0875,0.125,de-DE,8
Ukraine,Ukraine,ORG,-1.0,0.0,de,8
Caritas,Caritas,ORG,0.0875,0.25,de,8
EZB,EZB,ORG,0.12142857142857143,0.0,de,7
Kommunen,Kommunen,ORG,0.12142857142857143,0.2857142857142857,de,7
DWD,DWD,ORG,-0.2928571428571428,0.0,de,7
Gasimporteur Uniper,Gasimporteur Uniper,ORG,0.0,0.0,de,7
EU-Energieminister,EU-Energieminister,ORG,0.0,0.0,de,7
Gasag,Gasag,ORG,0.019047619047619042,0.047619047619047616,de,7
EnBW,EnBW,ORG,0.6,0.0,de,7
Terminkontrakts TTF,Terminkontrakts TTF,ORG,0.0,0.2857142857142857,de,7
ÖVP,ÖVP,ORG,0.2583333333333333,0.0,de,6
ntv.de,ntv.de,ORG,0.16666666666666666,0.0,de,6
RKI,RKI,ORG,0.0,0.0,de,6
AfD,AfD,ORG,0.0,0.0,de,6
Senat,Senat,ORG,0.3333333333333333,0.0,de,6
TotalEnergies,TotalEnergies,ORG,0.0,0.16666666666666666,de,6
Kirche,Kirche,ORG,-0.03888888888888888,0.0,de,6
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.4666666666666666,0.0,de,6
E-Control,E-Control,ORG,0.5599999999999999,0.0,de,5
EU-Ebene,EU-Ebene,ORG,0.0,0.2,de,5
Deutschland,Deutschland,ORG,0.0,0.0,de,5
Russland,Russland,ORG,0.0,0.0,de,5
Notenbank,Notenbank,ORG,0.13999999999999999,0.2,de,5
Nord Stream 1,Nord Stream 1,ORG,-0.13999999999999999,0.0,de,5
Grünen,Grünen,ORG,0.12,0.0,de,5
SPD-Chef,SPD-Chef,ORG,0.0,0.0,de,5
we…,we…,ORG,0.0,0.0,de,5
Shell,Shell,ORG,0.0,0.2,de,5
EU-Ratspräsident,EU-Ratspräsident,ORG,0.0,0.0,de,5
NATO,NATO,ORG,0.0,0.0,de,5
Internationale Energieagentur,Internationale Energieagentur,ORG,0.13999999999999999,0.0,de,5
Wintershall Dea,Wintershall Dea,ORG,0.175,0.5,de,4
Bundeskanzleramt,Bundeskanzleramt,ORG,0.175,0.0,de,4
Stadtwerke,Stadtwerke,ORG,0.04999999999999999,0.125,de,4
Polizei,Polizei,ORG,0.35,0.0,de,4
Vattenfall,Vattenfall,ORG,0.0,0.25,de,4
ÖPNV-Flatrate,ÖPNV-Flatrate,ORG,0.0,0.0,de,4
Europäische Kommission,Europäische Kommission,ORG,0.07500000000000001,0.0,de,4
OMV,OMV,ORG,0.175,0.0,de,4
Gaspreisbremse:,Gaspreisbremse:,ORG,0.25,0.0,de,4
China,China,ORG,0.0,0.0,de,4
Berliner Hertie School,Berliner Hertie School,ORG,0.175,0.0,de,4
ZDF,ZDF,ORG,0.0,0.0,de,4
FDP-Chef,FDP-Chef,ORG,0.09999999999999998,0.0,de,4
Japan,Japan,ORG,0.25,0.0,de,4
Vereinten Nationen,Vereinten Nationen,ORG,-0.25,0.0,de,4
WirtschaftsWoche Online,WirtschaftsWoche Online,ORG,0.7,0.0,de,4
SPD-Chefin,SPD-Chefin,ORG,0.037500000000000006,0.5,de,4
Pipeline Nord Stream 1,Pipeline Nord Stream 1,ORG,-0.175,0.5,de,4
EWV,EWV,ORG,0.2333333333333333,0.3333333333333333,de,3
Deutsche Börse,Deutsche Börse,ORG,0.10000000000000002,0.0,de,3
Bundeswirtschaftsministerium,Bundeswirtschaftsministerium,ORG,0.0,0.0,de,3
Rot-Grün,Rot-Grün,ORG,0.4666666666666666,0.0,de,3
Gaspreisbremse.,Gaspreisbremse.,ORG,0.11666666666666665,0.5,de,3
Stadtwerke München,Stadtwerke München,ORG,-0.10000000000000002,0.0,de,3
die Grünen,die Grünen,ORG,0.3333333333333333,0.3333333333333333,de,3
Potsdam-Institut für Klimafolgenforschung.,Potsdam-Institut für Klimafolgenforschung.,ORG,0.0,0.0,de,3
Bachmut,Bachmut,ORG,0.0,0.0,de,3
SPIEGEL-Informationen,SPIEGEL-Informationen,ORG,0.31111111111111106,0.3333333333333333,de,3
Gericht!,Gericht!,ORG,-0.6999999999999998,0.0,de,3
Energiekrise?,Energiekrise?,ORG,0.0,0.0,de,3
Microsoft,Microsoft,ORG,0.0,0.0,de,3
Smarte Thermostate,Smarte Thermostate,ORG,0.75,0.0,de,3
LNG-Terminals,LNG-Terminals,ORG,0.2833333333333333,0.0,de,3
EU-Regierungschefs,EU-Regierungschefs,ORG,0.0,0.0,de,3
Gazprom Germania.,Gazprom Germania.,ORG,0.0,0.0,de,3
US-Notenbank,US-Notenbank,ORG,-0.05833333333333335,0.0,de,3
TTF,TTF,ORG,-0.2333333333333333,0.0,de,3
SEFE,SEFE,ORG,0.2333333333333333,0.0,de,3
Foto: AP,Foto: AP,ORG,0.0,0.0,de,3
IAEA,IAEA,ORG,-0.4666666666666666,0.0,de,3
Klimaschützer,Klimaschützer,ORG,-0.2333333333333333,0.0,de,3
LNG-Deal,LNG-Deal,ORG,0.0,0.0,de,3
Asiaten,Asiaten,ORG,0.0,0.0,de,3
Verbands Deutscher Verkehrsunternehmen,Verbands Deutscher Verkehrsunternehmen,ORG,0.0,0.0,de,3
VDV,VDV,ORG,0.0,0.0,de,3
Konferenz: Verkehrsminister,Konferenz: Verkehrsminister,ORG,0.0,0.0,de,3
Europäischen Zentralbank,Europäischen Zentralbank,ORG,1.0,0.0,de,3
Johanniter,Johanniter,ORG,0.0,0.0,de,3
Die Linke,Die Linke,ORG,0.0,0.0,de,3
Pipeline Druschba,Pipeline Druschba,ORG,0.0,0.0,de,3
DAX-Konzern,DAX-Konzern,ORG,-0.4666666666666666,0.0,de,3
