,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.01581196581196581,0.04558404558404558,de,117
Gaspreisbremse,Gaspreisbremse,PER,0.10861111111111112,0.02222222222222222,de,60
Olaf Scholz,Olaf Scholz,PER,0.11535087719298247,0.017543859649122806,de,38
Scholz,Scholz,PER,0.025675675675675667,0.02702702702702703,de,37
Robert Habeck,Robert Habeck,PER,0.10303030303030303,0.03787878787878788,de,33
Freier,Freier,PER,0.6999999999999997,0.0,de,23
Putins,Putins,PER,0.02777777777777777,0.09523809523809523,de,21
Putin,Putin,PER,0.0375,0.0,de,20
Habeck,Habeck,PER,0.0,0.05555555555555555,de,18
Lindner,Lindner,PER,0.06764705882352941,0.14705882352941177,de,17
Gaspreisdeckel,Gaspreisdeckel,PER,0.0,0.0,de,15
Leyen,Leyen,PER,-0.19166666666666665,0.16666666666666666,de,12
Christian Lindner,Christian Lindner,PER,0.28472222222222227,0.1111111111111111,de,12
Michael Kretschmer,Michael Kretschmer,PER,-0.08484848484848484,0.0,de,11
Kretschmer,Kretschmer,PER,0.0,0.0,de,11
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,0.0,0.0,de,10
Preisbremse,Preisbremse,PER,0.3611111111111111,0.0,de,9
Angela Merkel,Angela Merkel,PER,0.6000000000000001,0.13333333333333336,de,9
Gabor Steingart,Gabor Steingart,PER,0.04999999999999999,0.125,de,8
Liz Truss,Liz Truss,PER,-0.06874999999999999,0.0,de,8
Erdogan,Erdogan,PER,0.475,0.0,de,8
Esken,Esken,PER,0.3321428571428572,0.2857142857142857,de,7
Wladimir Putin,Wladimir Putin,PER,0.2857142857142857,0.0,de,7
Macron,Macron,PER,0.09999999999999999,0.0,de,7
Klaus Müller,Klaus Müller,PER,0.06904761904761905,0.0,de,7
Steigende,Steigende,PER,0.14285714285714285,0.047619047619047616,de,7
Wolfram Günther,Wolfram Günther,PER,0.2333333333333333,0.0,de,6
Mario Mehren,Mario Mehren,PER,0.2527777777777777,0.638888888888889,de,6
Ursula von der Leyen,Ursula von der Leyen,PER,-0.225,0.08333333333333333,de,6
Gaskrise,Gaskrise,PER,-0.09000000000000001,0.0,de,6
Karl Lauterbach,Karl Lauterbach,PER,-0.54,0.2,de,5
Markus Söder,Markus Söder,PER,-0.33999999999999997,0.0,de,5
Sören Pellmann,Sören Pellmann,PER,0.76,0.0,de,5
Selenskyj,Selenskyj,PER,0.13999999999999999,0.0,de,5
Kommt,Kommt,PER,0.0,0.0,de,5
Charles Michel,Charles Michel,PER,0.0,0.0,de,5
Biden,Biden,PER,-0.009999999999999986,0.1,de,5
Gaspreisbremse.,Gaspreisbremse.,PER,0.0,0.4,de,5
Veronika Grimm,Veronika Grimm,PER,0.10999999999999999,0.0,de,5
Saskia Esken,Saskia Esken,PER,0.2875,0.0,de,4
Preisdeckel,Preisdeckel,PER,0.0,0.0,de-DE,4
Netzagentur-Chef Müller,Netzagentur-Chef Müller,PER,0.875,0.0,de,4
Explosionen,Explosionen,PER,-0.175,0.0,de,4
Merkel,Merkel,PER,0.125,0.1,de,4
Corona,Corona,PER,-0.25,0.0,de,4
Corona-Experte Lars Kaderali,Corona-Experte Lars Kaderali,PER,0.0,0.0,de,4
Nord-Stream-Pipelines,Nord-Stream-Pipelines,PER,-0.25,0.0,de,4
"Klaus Müller,","Klaus Müller,",PER,0.25,0.0,de,4
Faeser,Faeser,PER,0.0,0.0,de,4
Truss,Truss,PER,-0.2333333333333333,0.0,de,3
Bundesinnenministerin Faeser,Bundesinnenministerin Faeser,PER,0.0,0.0,de,3
Kretschmann,Kretschmann,PER,0.0,0.0,de,3
Günther,Günther,PER,0.2333333333333333,0.0,de,3
Bundesnetzagentur,Bundesnetzagentur,PER,0.3333333333333333,0.0,de,3
Pellmann,Pellmann,PER,0.3333333333333333,0.0,de,3
Baerbock,Baerbock,PER,0.5166666666666666,0.0,de,3
Elon Musk,Elon Musk,PER,-0.2333333333333333,0.0,de,3
Martin Krengel,Martin Krengel,PER,0.2333333333333333,0.3333333333333333,de,3
nan,nan,PER,0.0,0.0,de,3
Martin Brudermüller,Martin Brudermüller,PER,-0.2333333333333333,0.0,de,3
Schäuble,Schäuble,PER,0.0,0.0,de,3
Olaf Scholz:,Olaf Scholz:,PER,0.1111111111111111,0.0,de,3
"Christine Lagarde,","Christine Lagarde,",PER,1.0,0.0,de,3
Olaf Lies,Olaf Lies,PER,0.3333333333333333,0.0,de,3
Energiesparen,Energiesparen,PER,0.4666666666666666,0.0,de-DE,3
Wolfgang Schäuble,Wolfgang Schäuble,PER,0.3333333333333333,0.0,de,3
Peter Tauber,Peter Tauber,PER,0.16666666666666666,0.16666666666666666,de,3
Bodo Ramelow,Bodo Ramelow,PER,0.0,0.3333333333333333,de,3
Jens Südekum,Jens Südekum,PER,0.0,0.0,de,3
Gasmangellage,Gasmangellage,PER,0.0,0.0,de,2
Magnus Brunner,Magnus Brunner,PER,-0.35,0.5,de,2
Windräder,Windräder,PER,0.0,0.5,de,2
Jeremy Hunt,Jeremy Hunt,PER,0.15000000000000002,0.0,de,2
Russland.,Russland.,PER,0.39999999999999997,0.5,de,2
Liftbetreiber,Liftbetreiber,PER,0.0,0.0,de,2
Rüdiger Bachmann,Rüdiger Bachmann,PER,-0.85,0.0,de,2
Kate Winslet,Kate Winslet,PER,-0.5,0.0,de,2
Medwedew,Medwedew,PER,0.35,0.0,de,2
Linke,Linke,PER,0.0,0.5,de,2
Andreas Bovenschulte,Andreas Bovenschulte,PER,0.0,0.0,de,2
Hubertus Heil,Hubertus Heil,PER,0.925,0.0,de,2
Aufgeben,Aufgeben,PER,-0.7,0.0,de,2
Mark Helfrich,Mark Helfrich,PER,0.0,0.5,de,2
Markus Ritter,Markus Ritter,PER,0.0,0.0,de,2
Ukraine-Liveblog: Merkel,Ukraine-Liveblog: Merkel,PER,1.0,0.0,de,2
Konstantin von Notz,Konstantin von Notz,PER,0.0,1.0,de,2
Duschtipps,Duschtipps,PER,0.0,1.0,de,2
Praxisräume,Praxisräume,PER,0.0,0.0,de,2
Kassenärzte-Chef Gassen,Kassenärzte-Chef Gassen,PER,-0.7,0.0,de,2
Hendrik Wüst,Hendrik Wüst,PER,-1.0,0.0,de,2
"Luis Planas,","Luis Planas,",PER,0.0,0.0,de,2
Till Backhaus,Till Backhaus,PER,0.7,0.0,de,2
Mannes,Mannes,PER,-0.85,0.0,de,2
Kreml-Despot Wladimir Putin,Kreml-Despot Wladimir Putin,PER,-1.0,0.0,de,2
Mecklenburg-Vorpommerns,Mecklenburg-Vorpommerns,PER,0.35,0.0,de,2
Nie,Nie,PER,0.0,0.0,de,2
Bremens,Bremens,PER,0.0,0.0,de,2
Verivox,Verivox,PER,0.0,0.5,de,2
Schröder-Prozess,Schröder-Prozess,PER,-0.7,0.0,de,2
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.0,0.5,de,2
Wepa,Wepa,PER,0.0,1.0,de,2
